ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
"Hilton Garden Inn Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Blvd., a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Blvd. adjacent to the Estero Fire Station",Public Facilities & Services,6,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-10-10,2023-10-10,2023,Accepted,1755,6,Public Comment,"Hilton Garden Inn Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Blvd., a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Blvd. adjacent to the Estero Fire Station","Hilton Garden Inn Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Blvd., a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Blvd. adjacent to the Estero Fire Station. Action: No formal action recorded. Hilton Garden Inn Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Blvd., a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Blvd. adjacent to the Estero Fire S...","No formal action recorded. Hilton Garden Inn Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Blvd., a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Blvd. adjacent to the Estero Fire Station. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Shawn Boysko, Equity Construction Solutions Public Comment eComment Gary Prestia, Rapallo Board Questions or Comments Board Members Jones, Wallace, and Charman Wood. 10","No formal action recorded. Hilton Garden Inn Development Order (DOS2020-E002) (District 6) 8009 Sweetwater Ranch Blvd., a cleared and vacant 2.16 acre parcel at the southwest corner of Via Villagio and Sweetwater Ranch Blvd. adjacent to the Estero Fire Station. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Shawn Boysko, Equity Construction Solutions Public Comment eComment Gary Prestia, Rapallo Board Questions or Comments Board Members Jones, Wallace, and Charman Wood. 10",,,,,,DOS2020-E002,6,8009 SWEETWATER RANCH BLVD,8009 SWEETWATER RANCH BLVD,26.41181500803066,-81.80949049712162,0.98,null,10102023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/10102023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,044725E3301D30000
General Planning & Zoning,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2015-10-21,2015-10-21,2015,Accepted,1837,10,Resolution,"Resolution No. 2015-64 A Resolution of the Village Council of the Village ofEstero, Florida, Approving a Commercial Lease between the Village of Estero and Hamleg Corkscrew, LLC, for the Village ofEstero Village Hall Offices; Authorizing the Villa...","Resolution No. 2015-64 A Resolution of the Village Council of the Village ofEstero, Florida, Approving a Commercial Lease between the Village of Estero and Hamleg Corkscrew, LLC, for the Village ofEstero Village Hall Offices; Authorizing the Village Mayor. Action: Councilmember Wilson moved to adopt Resolution No. 2015-64 and to accept the minor change to Section 53 of the lease relating to contingency, extending the date to October 30, 2015, seconded by Councilmember Brown, called and carried","Councilmember Wilson moved to adopt Resolution No. 2015-64 and to accept the minor change to Section 53 of the lease relating to contingency, extending the date to October 30, 2015, seconded by Councilmember Brown, called and carried","Councilmember Wilson moved to adopt Resolution No. 2015-64 and to accept the minor change to Section 53 of the lease relating to contingency, extending the date to October 30, 2015, seconded by Councilmember Brown, called and carried","Councilmember Wilson moved to adopt Resolution No. 2015-64 and to accept the minor change to Section 53 of the lease relating to contingency, extending the date to October 30, 2015, seconded by Councilmember Brown, called and carried",,,Detected,,Resolution No. 2015-64,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,SS,102115 Regular Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/102115%20Regular%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2017-06-21,2017-06-21,2017,Accepted,1049,7,Vote,Request for Quotation RFQ 2017-01 for Estero Village Hall 2nd Floor Remodel,"Request for Quotation RFQ 2017-01 for Estero Village Hall 2nd Floor Remodel. Action: Approved release ofRFQ 2017-01, which solicits proposals for the Estero Village Hall 2nd Floor Remodel","Approved release ofRFQ 2017-01, which solicits proposals for the Estero Village Hall 2nd Floor Remodel","Approved release ofRFQ 2017-01, which solicits proposals for the Estero Village Hall 2nd Floor Remodel","Approved release ofRFQ 2017-01, which solicits proposals for the Estero Village Hall 2nd Floor Remodel",,,Unanimous,,RFQ 2017-01,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,,062117 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/062117%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2017-12-06,2017-12-06,2017,Accepted,2146,5,Contract Approval,Estero Village Hall 2nd Floor Remodel RFB 2017-01 Bid Award,"Estero Village Hall 2nd Floor Remodel RFB 2017-01 Bid Award. Action: Approved the contract with OneSource Construction Company & Builders, Inc. in the amount of$155,667.76 for the labor, materials, and required ancillaries to provide a turnkey remodel of the 2nd floor of the Estero Village Hall under RFB 2017-01 and authorized the Village Manager to sign the contract","Approved the contract with OneSource Construction Company & Builders, Inc. in the amount of$155,667.76 for the labor, materials, and required ancillaries to provide a turnkey remodel of the 2nd floor of the Estero Village Hall under RFB 2017-01 and authorized the Village Manager to sign the contract","Approved the contract with OneSource Construction Company & Builders, Inc. in the amount of$155,667.76 for the labor, materials, and required ancillaries to provide a turnkey remodel of the 2nd floor of the Estero Village Hall under RFB 2017-01 and authorized the Village Manager to sign the contract","Approved the contract with OneSource Construction Company & Builders, Inc. in the amount of$155,667.76 for the labor, materials, and required ancillaries to provide a turnkey remodel of the 2nd floor of the Estero Village Hall under RFB 2017-01 and authorized the Village Manager to sign the contract",,,Unanimous,OneSource Construction Company & Builders,RFB 2017-01,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,DR/GR,120617 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/120617%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
General Planning & Zoning,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2023-11-01,2023-11-01,2023,Accepted,1890,3,Contract Approval,Approval of Village Hall lease agreement,"Approval of Village Hall lease agreement. Action: Approved the Second Amendment to Commercial Lease Agreement between Hamleg Corkscrew, LLC, and the Village of Estero, and to authorize the Village Manager to execute the Second Amendment for the Village","Approved the Second Amendment to Commercial Lease Agreement between Hamleg Corkscrew, LLC, and the Village of Estero, and to authorize the Village Manager to execute the Second Amendment for the Village","Approved the Second Amendment to Commercial Lease Agreement between Hamleg Corkscrew, LLC, and the Village of Estero, and to authorize the Village Manager to execute the Second Amendment for the Village","Approved the Second Amendment to Commercial Lease Agreement between Hamleg Corkscrew, LLC, and the Village of Estero, and to authorize the Village Manager to execute the Second Amendment for the Village",,,Detected,,,,"9401 Corkscrew Palms Circle, Estero, FL 33928","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,0.9,TD/CS,11012023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/11012023%20minutes.pdf,AgendaItemLocation,1,true,
Ben Hill Griffin Parkway Improvements,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2021-11-17,2021-11-17,2021,Accepted,2047,6,Public Comment,Ben Hill Griffin Parkway Landscape Concept,"Ben Hill Griffin Parkway Landscape Concept. Action: No formal action recorded. Ben Hill Griffin Parkway Landscape Concept Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Presentation/Information by: Bruce Howard, Bruce Howard & Associates Public Comments: Peter Dersley, Grandezza Council Questions or Comments: Councilmembers Wilson, Ward, Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Ben Hill Griffin Parkway Landscape Concept Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Presentation/Information by: Bruce Howard, Bruce Howard & Associates Public Comments: Peter Dersley, Grandezza Council Questions or Comments: Councilmembers Wilson, Ward, Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Ben Hill Griffin Parkway Landscape Concept Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Presentation/Information by: Bruce Howard, Bruce Howard & Associates Public Comments: Peter Dersley, Grandezza Council Questions or Comments: Councilmembers Wilson, Ward, Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington",,,,,,,,Avalon at Grandezza Condominium,Avalon at Grandezza Condominium,26.44124231180666,-81.76991455364423,0.85,TD/CS,11172021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/11172021%20minutes.pdf,AgendaItemLocation,1,true,
Budget / Capital Improvement,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2025-05-21,2025-05-21,2025,Accepted,855,9,Budget,Fiscal Year 2025-2026 Five-Year Capital Improvement Plan Review,"Fiscal Year 2025-2026 Five-Year Capital Improvement Plan Review. Action: No formal action recorded. Fiscal Year 2025-2026 Five-Year Capital Improvement Plan Review Staff Presentation/Comments David Willems, Public Works Director Council Questions or Comments Councilmembers McLain, Hunt, Ward, Lopez, and Vice Mayor Zalucki Public Comments eComment Scott Stryker, Bella Terra","No formal action recorded. Fiscal Year 2025-2026 Five-Year Capital Improvement Plan Review Staff Presentation/Comments David Willems, Public Works Director Council Questions or Comments Councilmembers McLain, Hunt, Ward, Lopez, and Vice Mayor Zalucki Public Comments eComment Scott Stryker, Bella Terra","No formal action recorded. Fiscal Year 2025-2026 Five-Year Capital Improvement Plan Review Staff Presentation/Comments David Willems, Public Works Director Council Questions or Comments Councilmembers McLain, Hunt, Ward, Lopez, and Vice Mayor Zalucki Public Comments eComment Scott Stryker, Bella Terra",,,,,,,,Bella Terra Subdivision,Bella Terra Subdivision,26.433015857266223,-81.73086266056815,0.85,TD/CS,05212025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/05212025.pdf,AgendaItemLocation,1,true,
Ben Hill Griffin Parkway Improvements,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2023-12-06,2023-12-06,2023,Accepted,2164,9,Public Comment,Ben Hill Griffin Project Update,"Ben Hill Griffin Project Update. Action: No formal action recorded. Ben Hill Griffin Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Ward, Zalucki, Fiesel, and Vice Mayor Ribble.  Public Comments None","No formal action recorded. Ben Hill Griffin Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Ward, Zalucki, Fiesel, and Vice Mayor Ribble.  Public Comments None","No formal action recorded. Ben Hill Griffin Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Ward, Zalucki, Fiesel, and Vice Mayor Ribble.  Public Comments None",,,,,,,,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, Estero, FL",26.442888042165,-81.772410260408,0.9,TD/CS,12062023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/12062023%20minutes.pdf,AgendaItemLocation,1,true,
Ben Hill Griffin Parkway Improvements,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2024-04-03,2024-04-03,2024,Accepted,476,13,Public Comment,Ben Hill Griffin Parkway Project Update,"Ben Hill Griffin Parkway Project Update. Action: No formal action recorded. Ben Hill Griffin Parkway Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Feisel, Ward, Zalucki, and Mayor McLain. Public Comments None","No formal action recorded. Ben Hill Griffin Parkway Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Feisel, Ward, Zalucki, and Mayor McLain. Public Comments None","No formal action recorded. Ben Hill Griffin Parkway Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Feisel, Ward, Zalucki, and Mayor McLain. Public Comments None",,,,,,,,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, Estero, FL",26.442888042165,-81.772410260408,0.9,TD/CS,04032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04032024%20minutes.pdf,AgendaItemLocation,1,true,
Ben Hill Griffin Parkway Improvements,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2024-05-15,2024-05-15,2024,Accepted,790,7,Public Comment,Ben Hill Griffin Monument Sign,"Ben Hill Griffin Monument Sign. Action: No formal action recorded. Ben Hill Griffin Monument Sign Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fayhee, Zalucki, Fiesel, Lopez, Vice Mayor Ribble Mayor McLain Public Comments None","No formal action recorded. Ben Hill Griffin Monument Sign Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fayhee, Zalucki, Fiesel, Lopez, Vice Mayor Ribble Mayor McLain Public Comments None","No formal action recorded. Ben Hill Griffin Monument Sign Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fayhee, Zalucki, Fiesel, Lopez, Vice Mayor Ribble Mayor McLain Public Comments None",,,,,,,,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, Estero, FL",26.442888042165,-81.772410260408,0.9,TD/CS,05152024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05152024%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road; Ben Hill Griffin Parkway Improvements,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2025-01-08,2025-01-08,2025,Accepted,56,7,Presentation,Corkscrew Road (Woodlands to Ben Hill Griffin) Landscaping update,"Corkscrew Road (Woodlands to Ben Hill Griffin) Landscaping update. Action: No formal action recorded. Corkscrew Road (Woodlands to Ben Hill Griffin) Landscaping update Staff Presentation/Comments David Willems, Public Works Director Council Questions or Comments Councilmember Zalucki","No formal action recorded. Corkscrew Road (Woodlands to Ben Hill Griffin) Landscaping update Staff Presentation/Comments David Willems, Public Works Director Council Questions or Comments Councilmember Zalucki","No formal action recorded. Corkscrew Road (Woodlands to Ben Hill Griffin) Landscaping update Staff Presentation/Comments David Willems, Public Works Director Council Questions or Comments Councilmember Zalucki",,,,,,,,Ben Hill Griffin Parkway,"Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, Estero, FL",26.442888042165,-81.772410260408,0.9,TD/CS,01082025 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/01082025%20minutes.pdf,AgendaItemLocation,2,false,
Septic to Sewer,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2023-01-04,2023-01-04,2023,Accepted,30,8,Public Comment,Broadway West UEP,"Broadway West UEP. Action: No formal action recorded. Broadway West UEP Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Boesch, Ward, Vice Mayor McLain, and Mayor Errington Public Comments Pastor Frank Brand, First Baptist Church Patty Whitehead, Old Estero","No formal action recorded. Broadway West UEP Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Boesch, Ward, Vice Mayor McLain, and Mayor Errington Public Comments Pastor Frank Brand, First Baptist Church Patty Whitehead, Old Estero","No formal action recorded. Broadway West UEP Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Boesch, Ward, Vice Mayor McLain, and Mayor Errington Public Comments Pastor Frank Brand, First Baptist Church Patty Whitehead, Old Estero",,,,,,,,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL","Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",26.441876807456,-81.822814751334,0.95,TD/CS,01042023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/01042023%20minutes.pdf,AgendaItemLocation,1,true,
"Christ Community Ministries Development Order (DOS2021-E001) (District 4) 20810 Highlands Avenue, located on the northwest corner of County Road and Highlands Avenue, immediately east of Estero Fire Rescue Station 41",Public Facilities & Services,6,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-10-12,2021-10-12,2021,Accepted,1761,2,Vote,"Christ Community Ministries Development Order (DOS2021-E001) (District 4) 20810 Highlands Avenue, located on the northwest corner of County Road and Highlands Avenue, immediately east of Estero Fire Rescue Station 41","Christ Community Ministries Development Order (DOS2021-E001) (District 4) 20810 Highlands Avenue, located on the northwest corner of County Road and Highlands Avenue, immediately east of Estero Fire Rescue Station 41. Action: Approved Development Order to expand the existing church by 2,972 square feet and to expand the parking on a2.3-acre site","Approved Development Order to expand the existing church by 2,972 square feet and to expand the parking on a2.3-acre site","Approved Development Order to expand the existing church by 2,972 square feet and to expand the parking on a2.3-acre site","Approved Development Order to expand the existing church by 2,972 square feet and to expand the parking on a2.3-acre site",,,See minutes,,DOS2021-E001,4,COUNTY RD & HIGHLANDS AV,COUNTY RD & HIGHLANDS AV,26.4369968537222,-81.8089779384038,0.93,null,10122021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/10122021%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,
Estero Parkway Improvements,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2016-08-31,2016-08-31,2016,Accepted,1393,19,Contract Approval,County Contribution for Estero Parkway Sidewalk and Repaving,"County Contribution for Estero Parkway Sidewalk and Repaving. Action: No formal action recorded. County Contribution for Estero Parkway Sidewalk and Repaving Village Manager Sarkozy stated the amount requested was $2.196M. Public Comment: Doug Saxton, The Reserve Bill Williams, Cascades at Estero ( 6) Agreement for Election Services between the Village of Estero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida (agenda item moved from 5 ( c) Village Attorney Saunders s...","No formal action recorded. County Contribution for Estero Parkway Sidewalk and Repaving Village Manager Sarkozy stated the amount requested was $2.196M. Public Comment: Doug Saxton, The Reserve Bill Williams, Cascades at Estero ( 6) Agreement for Election Services between the Village of Estero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida (agenda item moved from 5 ( c) Village Attorney Saunders stated that, due to elections this week, the Supervisor of Elections did not have an opportunity to respond; however, he believed that the agreement would be available for the next Council meeting. Discussion followed related to early voting. Questions or Comments by: Mayor Batos, Vice Mayor Levitan, and Councilmember Ribble. Village Council Meeting Final Action Agenda/Minutes - August 31, 2016 Page 7 of9","No formal action recorded. County Contribution for Estero Parkway Sidewalk and Repaving Village Manager Sarkozy stated the amount requested was $2.196M. Public Comment: Doug Saxton, The Reserve Bill Williams, Cascades at Estero ( 6) Agreement for Election Services between the Village of Estero and Sharon Harrington, the Supervisor of Elections of Lee County, Florida (agenda item moved from 5 ( c) Village Attorney Saunders stated that, due to elections this week, the Supervisor of Elections did not have an opportunity to respond; however, he believed that the agreement would be available for the next Council meeting. Discussion followed related to early voting. Questions or Comments by: Mayor Batos, Vice Mayor Levitan, and Councilmember Ribble. Village Council Meeting Final Action Agenda/Minutes - August 31, 2016 Page 7 of9",,,,,,,,Cascades at Estero Subdivision,Cascades at Estero Subdivision,26.445926882167896,-81.80216655230441,0.85,,083116 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/083116%20Council%20Meeting%20Approved%20Minutes.pdf,AgendaItemLocation,1,true,
Coconut Road Intersection Improvements Project Update,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2021-11-03,2021-11-03,2021,Accepted,1928,9,Public Comment,Coconut Road Intersection Improvements Project Update,"Coconut Road Intersection Improvements Project Update. Action: No formal action recorded. Coconut Road Intersection Improvements Project Update Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Burt Saunders, Village Attorney Presentation/Information by: Josh Hildebrand, Johnson Engineering Public Comments: None. Council Questions or Comments: Councilmembers Boesch, Wilson, Ward, Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Coconut Road Intersection Improvements Project Update Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Burt Saunders, Village Attorney Presentation/Information by: Josh Hildebrand, Johnson Engineering Public Comments: None. Council Questions or Comments: Councilmembers Boesch, Wilson, Ward, Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington","No formal action recorded. Coconut Road Intersection Improvements Project Update Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems, Public Works Burt Saunders, Village Attorney Presentation/Information by: Josh Hildebrand, Johnson Engineering Public Comments: None. Council Questions or Comments: Councilmembers Boesch, Wilson, Ward, Fiesel, Ribble, Vice Mayor McLain, and Mayor Errington",,,,,,,,Coconut Road,"Coconut Road from US 41 to Via Coconut Point, Estero, FL",26.398474495578,-81.808064278126,0.9,TD/CS,11032021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/11032021%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2021-05-05,2021-05-05,2021,Accepted,704,10,Public Comment,Corkscrew Road Improvements Project Update,"Corkscrew Road Improvements Project Update. Action: No formal action recorded. Corkscrew Road Improvements Project Update Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems. Public Works Director Presentation/Information by: Ryan Bell, Johnson Engineering Council Questions or Comments: Councilmembers Ward, Boesch, Ribble, Wilson, Vice Mayor McLain, and Mayor Errington. Public Comments: None","No formal action recorded. Corkscrew Road Improvements Project Update Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems. Public Works Director Presentation/Information by: Ryan Bell, Johnson Engineering Council Questions or Comments: Councilmembers Ward, Boesch, Ribble, Wilson, Vice Mayor McLain, and Mayor Errington. Public Comments: None","No formal action recorded. Corkscrew Road Improvements Project Update Staff Presentation/Comments: Steve Sarkozy, Village Manager David Willems. Public Works Director Presentation/Information by: Ryan Bell, Johnson Engineering Council Questions or Comments: Councilmembers Ward, Boesch, Ribble, Wilson, Vice Mayor McLain, and Mayor Errington. Public Comments: None",,,,,,,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,TD/CS,05052021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/05052021%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2022-09-08,2022-09-08,2022,Accepted,1453,11,Public Comment,Corkscrew Road Project Update,"Corkscrew Road Project Update. Action: No formal action recorded. Corkscrew Road Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Presentation/Information by Jeff Nagle, Johnson Engineering Council Questions or Comments Councilmembers Ward, Fiesel, Vice Mayor McLain, and Mayor Errington. Public Comment None","No formal action recorded. Corkscrew Road Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Presentation/Information by Jeff Nagle, Johnson Engineering Council Questions or Comments Councilmembers Ward, Fiesel, Vice Mayor McLain, and Mayor Errington. Public Comment None","No formal action recorded. Corkscrew Road Project Update Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Presentation/Information by Jeff Nagle, Johnson Engineering Council Questions or Comments Councilmembers Ward, Fiesel, Vice Mayor McLain, and Mayor Errington. Public Comment None",,,,,,,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,TD/CS,09082022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/09082022%20minutes.pdf,AgendaItemLocation,1,true,
Corkscrew Road,Public Facilities & Services,6,Village Council,Regular Meeting,Village Council,2023-11-01,2023-11-01,2023,Accepted,1894,7,Public Comment,"Corkscrew Road Path, Landscaping, and Lighting Project Update","Corkscrew Road Path, Landscaping, and Lighting Project Update. Action: No formal action recorded. Corkscrew Road Path, Landscaping, and Lighting Project Update Presentation/Information by Jeff Nagle, Johnson Engineering Leah Holmes, Johnson Engineering Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Ward, Zalucki, Vice Mayor Ribble, and Mayor McLain. Public Comments None","No formal action recorded. Corkscrew Road Path, Landscaping, and Lighting Project Update Presentation/Information by Jeff Nagle, Johnson Engineering Leah Holmes, Johnson Engineering Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Ward, Zalucki, Vice Mayor Ribble, and Mayor McLain. Public Comments None","No formal action recorded. Corkscrew Road Path, Landscaping, and Lighting Project Update Presentation/Information by Jeff Nagle, Johnson Engineering Leah Holmes, Johnson Engineering Staff Presentation/Comments Steve Sarkozy, Village Manager David Willems, Public Works Director Council Questions or Comments Councilmembers Fiesel, Ward, Zalucki, Vice Mayor Ribble, and Mayor McLain. Public Comments None",,,,,,,,Corkscrew Road Widening Corridor,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,0.9,TD/CS,11012023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/11012023%20minutes.pdf,AgendaItemLocation,1,true,
